CER: 0.20
Prediction: 流浪貓喺灣仔祥禾里嘅垃圾桶搵野食
Reference: 流浪貓喺灣仔祥和里嘅垃圾桶搵野食 

Prediction: 貨櫃馬頭路
Reference: 貨櫃碼頭路 

Prediction: 就會家速世菌新杖
Reference: 就會加速細菌生長 

Prediction: 我依家喺元朗西青街附近有停車場泊車嗎
Reference: 我依家喺元朗西菁街附近有停車場泊車嗎 

Prediction: 表姐放學去左大埔坳 翠園路公園打韆鞦
Reference: 表姐放學去左大埔滘翠巒路公園打韆鞦 

Prediction: 法院道
Reference: 法院道 

Prediction: 醒醒定定米恰眼瞓呀
Reference: 醒醒定定米瞌眼睏呀 

Prediction: 我住喺長沙灣站附近
Reference: 我住喺長沙灣站附近 

Prediction: 巴域街
Reference: 巴域街 

Prediction: 事認唔該埋單
Reference: 侍應唔該埋單 

Prediction: 我們要親新經力間難
Reference: 我們要親身經歷艱難 

Prediction: 咁肥肯定係畀人飛做啦
Reference: 咁肥肯定係比人飛咗啦 

Prediction: 食咗飯未
Reference: 食咗飯未 

Prediction: 聚無可恕
Reference: 罪無可恕 

Prediction: 用快子各飲通飲野
Reference: 用筷子夾飲筒飲嘢 

Prediction: 知唔知個死字點寫
Reference: 知唔知個死字點寫 

Prediction: 最糕粉到個係一邊個
Reference: 最高分嗰個係邊個 

Prediction: 風吹雞蛋殼財山人安樂
Reference: 風吹雞蛋殼財散人安樂 

Prediction: 今日
Reference: 今日 

Prediction: 我最鍾意想英文堂
Reference: 我最鍾意上英文堂 

Prediction: 今日真係好鬼然出去半日成身都係汗
Reference: 今日真係好鬼熱出去半日成身都係汗 

Prediction: 唔好做垃圾嘈
Reference: 唔好做垃圾蟲 

Prediction: 敷持亂雜
Reference: 鬆弛練習 

Prediction: 展盡式基肉風持面扎及展進式基肉風填念隔動畫
Reference: 漸進式肌肉鬆弛練習及漸進式肌肉鬆弛練習動畫 

Prediction: 台灣香腸
Reference: 台灣香腸 

Prediction: 咖哩牛腩飯
Reference: 咖哩牛腩飯 

Prediction: 蟹柳卷
Reference: 蟹柳卷 

Prediction: 英馬
Reference: 聽晚 

Prediction: 但年咗不了動幾之過
Reference: 但你阻不了忌妒之火 

Prediction: 呢個前放幾發等嘅年
Reference: 呢個情況起碼等幾年 

Prediction: 要上增啦時下成古同你色
Reference: 變相增加借貸成本同利息 

Prediction: 有無人知道大角咀海非和係表去咁
Reference: 有無人知道大角咀海輝道係點去㗎 

Prediction: 所明意窩街
Reference: 參茸燕窩街 

Prediction: 迷利火腿奄列
Reference: 迷你火腿奄列 

Prediction: 老闆請我去大埔街科興街間餐廳食西多士飲奶茶
Reference: 老闆請我去大埔滘科興街間餐廳食西多士飲奶茶 

Prediction: 有無人知道東涌深豐路係點去㗎
Reference: 有無人知道東涌深豐路係點去㗎 

Prediction: 你哋快啲啦阿嫂佢哋而家喺西灣河站等緊你哋
Reference: 你哋快啲啦阿嫂佢哋而家喺西灣河站等緊你哋 

Prediction: 請問你有無聽過西貢牛屎砵喺邊度
Reference: 請問你有無聽過西貢牛屎缽喺邊度 

Prediction: 有個亞伯喺赤鱲角館制柏路唔見左個銀包
Reference: 有個亞伯喺赤鱲角管制塔路唔見左個銀包 

Prediction: 坐巴士遇著飽拍無威坐友頭企到落尾好慘
Reference: 坐巴士遇著爆棚無位坐由頭企到落尾好慘 

Prediction: 椒糖什火鮮果東
Reference: 焦糖雜果仙果凍 

Prediction: 天葵路
Reference: 天葵路 

Prediction: 兩地的科技企業和人才在高科技發展有具大合作空間
Reference: 兩地的科技企業和人才在高科技發展有巨大合作空間 

Prediction: 八號風球好大風觀塘瑞和街依家橫風橫雨
Reference: 八號風球好大風觀塘瑞和街依家橫風橫雨 

Prediction: 鹽酥色子豆腐
Reference: 鹽酥骰子豆腐 

Prediction: 強港神力被由
Reference: 香港生力啤 

Prediction: 銀南曾拜神見計革的啲有
Reference: 吟吟尋尋拜神唔見雞咁 

Prediction: 落緊雨仲要趕住去坪利洲好徑街打乒乓波華
Reference: 落緊雨仲要趕住去鴨脷洲好景街打乒乓波 

Prediction: 忘機了何時變成這樣
Reference: 忘記了何時變成這樣 

Prediction: 每個人都要幫手做家舞
Reference: 每個人都要幫手做家務 

Prediction: 慢慢地重台各兒動出來
Reference: 慢慢地從台角移動出來 

Prediction: 今日八號風球到此一游
Reference: 今日八號風球到此一遊 

Prediction: 冇變囉
Reference: 冇變囉 

Prediction: 影身我囉
Reference: 認真餓囉 

Prediction: 考試考得好全靠隔離好
Reference: 考試考得好全靠隔籬好 

Prediction: 卡米宜徑
Reference: 卡米爾徑 

Prediction: 眼超超黃乜順唔信打鑊金呀
Reference: 眼超超望乜信唔信打鑊金呀 

Prediction: 我喺旺大仙九龍塘聯合道盪失路
Reference: 我喺黃大仙九龍塘聯合道盪失路 

Prediction: 牛肉粽
Reference: 牛肉粳 

Prediction: 亞爸喺清水灣相士灣路買左三磅士多啤梨返屋企
Reference: 亞爸喺清水灣相思灣路買左三磅士多啤梨返屋企 

Prediction: 三炮兩抹快拜最佢搞邊佢
Reference: 三扒兩撥快快趣趣攪掂佢 

Prediction: 點解唔見出大埔大哥太和路對開嗰個巴士站
Reference: 點解唔見左大埔大埔太和路對開嗰個巴士站 

Prediction: 姨媽同我去元朗宏通街買餸
Reference: 姨媽同我去元朗宏業東街買餸 

Prediction: 點解唔見左葵涌大園街對開嗰個巴士站
Reference: 點解唔見左葵涌大圓街對開嗰個巴士站 

Prediction: 減小出現臭卻問題的機會
Reference: 減少出現腳臭問題的機會 

Prediction: 我要食藥肚
Reference: 我要食楊桃 

Prediction: 龍森路
Reference: 龍琛路 

Prediction: 未又嘢想同我講
Reference: 你有嘢想同我講 

Prediction: 何奈道
Reference: 河內道 

Prediction: 有個老人去左北角永興街食齋
Reference: 有個老人去左北角永興街食齋 

Prediction: 連通國際共學生機
Reference: 連通國際共拓商機 

Prediction: 有個老人去左旺角水渠路食齋
Reference: 有個老人去左旺角水渠道食齋 

Prediction: 炸薯餅
Reference: 炸薯餅 

Prediction: 噚日咁啱喺元朗秀富街撞見中學隔離班嘅舊同學
Reference: 噚日咁啱喺元朗壽富街撞見中學隔離班嘅舊同學 

Prediction: 有個老婆婆喺九龍塘鑼福道等緊小巴
Reference: 有個老婆婆喺九龍塘羅福道等緊小巴 

Prediction: 我喺小欖聯泰街盪失路
Reference: 我喺小欖聯泰街盪失路 

Prediction: 不能吊已輕心
Reference: 不能掉以輕心 

Prediction: 在未難力史上將記在著這一寞
Reference: 在未來歷史上將記載著這一幕 

Prediction: 無之警的追求如尾一定是自命霜
Reference: 無止境的追求完美一定是致命傷 

Prediction: 繼續吹
Reference: 繼續吹 

Prediction: 都會乖乖咁走去沖涼
Reference: 都會乖乖咁走去沖涼 

Prediction: 到具早控製台上燈光健
Reference: 道具組控制台上燈光鍵 

Prediction: 你問左個之客未
Reference: 你問咗個知客未 

Prediction: 無明火三醬起
Reference: 無名火三丈起 

Prediction: 表姐放學去左九龍塘鑼福道公園打韆鞦
Reference: 表姐放學去左九龍塘羅福道公園打韆鞦 

Prediction: 避面做劇列運動話咗詳情的跟三或院足等活動
Reference: 避免做劇烈運動或作長程的登山或遠足等活動 

Prediction: 細佬喺銅鑼灣波斯富街收養左一隻流浪狗
Reference: 細佬喺銅鑼灣波斯富街收養左一隻流浪狗 

Prediction: 請問我想去西貢銀線灣銀台路要搭乜嘢車先去到
Reference: 請問我想去西貢銀線灣銀臺路要搭乜嘢車先去到 

Prediction: 究竟度分經員嘅認之能力味足以理解作嚟
Reference: 究竟係部分警員既認知能力未足以理解法例 

Prediction: 都係咁上下啦好咩點
Reference: 都係咁上下啦無咩點 

Prediction: 遲左就唔好意思啦
Reference: 遲咗就唔好意思啦 

Prediction: 我意若無恥到偷人地路變濟品自己食
Reference: 可以無恥到偷人哋路邊祭品自己食 

Prediction: 細妹約左我去灣仔嘅交加里食晏飲下午茶
Reference: 細妹約左我去灣仔嘅交加里食晏飲下午茶 

Prediction: 海膽
Reference: 海膽 

Prediction: 前總醬官底
Reference: 前准將官邸 

Prediction: 我行得正企得正唔下俾人咬
Reference: 我行得正企得正唔怕畀人鬧 

Prediction: 黃師傅去銅鑼灣軒德孫道幫個後生仔睇跌打
Reference: 黃師傅去銅鑼灣軒德蓀道幫個後生仔睇跌打 

Prediction: 樂克道
Reference: 駱克道 

Prediction: 好似自新心臨既口花院一弱充滿親新文清感
Reference: 好似置身森林嘅後花園一樣充滿清新文青感 

Prediction: 皇牛
Reference: 和牛 

Prediction: 老細請我去油麻地窩打老道間餐廳食西多士飲奶茶
Reference: 老闆請我去油麻地窩打老道間餐廳食西多士飲奶茶 

Prediction: 八八通自動增直及其他本地簽賬都有百分之一回增
Reference: 八達通自動增值及其他本地簽賬都有百分之一回贈 

Prediction: 善惡到頭終有報若然未報時晨未到
Reference: 善惡到頭終有報若然未報時辰未到 

Prediction: 千里大及堂貝歌
Reference: 千里達及托貝哥 

Prediction: 鬼叫你窮牙頂硬上
Reference: 鬼叫你窮呀頂硬上 

Prediction: 一星其七日都着同一對鞋
Reference: 一星期七日都著同一對鞋 

Prediction: 嗰次喺石塘咀南里見到有雞蛋仔格仔餅賣
Reference: 嗰次喺石塘咀南里見到有雞蛋仔格仔餅賣 

Prediction: 我依家喺元朗豪州路附近有停車場泊車嗎
Reference: 我依家喺元朗蠔洲路附近有停車場泊車嗎 

Prediction: 土瓜灣碧藝花園附近有蒙運動長
Reference: 土瓜灣碧麗花園附近有無運動場 

Prediction: 表姐放學去左元朗翠桐路公園打韆鞦
Reference: 表姐放學去左元朗翠松路公園打韆鞦 

Prediction: 長沙灣美寧中心附近有無幼稚苑
Reference: 長沙灣美寧中心附近有無幼稚園 

Prediction: 大嫂要去汀角沙爛路嗰度買啲嘢
Reference: 大嫂要去汀角沙欄路嗰度買啲嘢 

Prediction: 司機大佬唔該快啲頭先喺九龍城啟龍里跌左部手機
Reference: 司機大佬唔該快啲頭先喺九龍城啟融里跌左部手機 

Prediction: 窩杯內夾有麻薯和薑肉食落后金煙韌
Reference: 窩夫內夾有麻糬和薑肉食落口感煙韌 

Prediction: 雅士利道
Reference: 亞士厘道 

Prediction: 放飛電
Reference: 放飛劍 

Prediction: 佢比人打左一差
Reference: 佢畀人打咗一餐 

Prediction: 科唔返便這個可用用呀
Reference: 方唔方便借個火用用呀 

Prediction: 小姐電稱夫
Reference: 小姐點稱乎 

Prediction: 隨口噏當秘笈
Reference: 隨口嗡當秘笈 

Prediction: 我五分鐘前行個九龍城龍崗道見到電時台訪問六姑姐
Reference: 我五分鐘前行過九龍城龍崗道見到電視台訪問六姑姐 

Prediction: 如果未去過赤柱嘅街味度就唔真係要搵個時間去行吓
Reference: 如果未去過赤柱嘅佳美道就真係要搵個時間去行吓 

Prediction: 你論上應該教小出汗
Reference: 理論上應該較少出汗 

Prediction: 如果未去過葵涌嘅富屋路就真係要搵個時間去行吓
Reference: 如果未去過葵涌嘅傅屋路就真係要搵個時間去行吓 

Prediction: 塔香煎蛋
Reference: 塔香煎蛋 

Prediction: 青蓉徑
Reference: 青榕徑 

Prediction: 請問我想去屯門鄉事會路搭乜嘢車先去到
Reference: 請問我想去屯門鄉事會路搭乜嘢車先去到 

Prediction: 勉免力趕想尾班車但同連早已殘缺
Reference: 勉力趕上尾班車但童年早己殘缺 

Prediction: 司機大佬唔該快啲頭先喺將軍澳唐賢里跌左部手機
Reference: 司機大佬唔該快啲頭先喺將軍澳唐賢里跌左部手機 

Prediction: 杜樹街
Reference: 渡船街 

Prediction: 家姐話億雞係喺粉嶺但係唔知巴士路線
Reference: 家姐話聯益街係喺粉嶺但係唔知巴士路線 

Prediction: 車公料路
Reference: 車公廟路 

Prediction: 如果說沒有可望是片人的
Reference: 如果說沒有渴望是騙人的 

Prediction: 不及外何之道
Reference: 不給外婆知道 

Prediction: 坐下就只有留是和古票
Reference: 坐下就只有樓市和股票 

Prediction: 八號風球好大風觀學瑞寧街依家橫風橫雨
Reference: 八號風球好大風觀塘瑞寧街依家橫風橫雨 

Prediction: 天水為是中心
Reference: 天水圍市中心 

Prediction: 胡蝶酥
Reference: 蝴蝶酥 

Prediction: 卿高采列
Reference: 興高采烈 

Prediction: 加州手卷
Reference: 加州手卷 

Prediction: 白之路
Reference: 達之路 

Prediction: 艾華街
Reference: 埃華街 

Prediction: 香港電身
Reference: 香港電訊 

Prediction: 嗱沙利道
Reference: 喇沙利道 

Prediction: 學生話佢知石澤里係係喺西營盤但係唔知有冇小巴經嗰度
Reference: 學生話佢知石棧里係喺西營盤但係唔知有冇小巴經嗰度 

Prediction: 好耐無去觀塘利安里探舅父
Reference: 好耐無去觀塘利安里探舅父 

Prediction: 我喺赤鱲角航天城路盪失路
Reference: 我喺赤鱲角航天城路盪失路 

Prediction: 西班牙
Reference: 西班牙 

Prediction: 細佬喺柴灣泰民街收養左一隻流浪狗
Reference: 細佬喺柴灣泰民街收養左一隻流浪狗 

Prediction: 失拾慌女街坊
Reference: 失失慌累街坊 

Prediction: 黃師傅去東涌迎喜路幫個後生仔睇跌打
Reference: 黃師傅去東涌迎禧路幫個後生仔睇跌打 

Prediction: 沒法再感受新邊人心裏的結
Reference: 沒法再感受身邊人心裏的結 

Prediction: 硬搖把他放在不情直的位置
Reference: 硬要把它放在不稱職的位置 

Prediction: 使公夜如剛河肚套
Reference: 使公義如江河滔滔 

Prediction: 中運都唔識靚咪玩野
Reference: 中文都唔識你係咪玩嘢 

Prediction: 表姐放學去左筲箕灣耀興道公園打韆鞦
Reference: 表姐放學去左筲箕灣耀興道公園打韆鞦 

Prediction: 如果要在外活動話工作最好大闊邊無
Reference: 如果要在戶外活動或工作最好戴寬邊帽 

Prediction: 石江基場路
Reference: 石崗機場路 

Prediction: 側側膊唔多覺
Reference: 側側膊唔多覺 

Prediction: 陳師奶要去西營盤毓秀里搵個朋友一齊打麻雀
Reference: 陳師奶要去西營盤毓秀里搵個朋友一齊打麻雀 

Prediction: 爺爺好鍾意去旺角界欖街食油炸鬼炒麵艇仔粥
Reference: 爺爺好鍾意去旺角界限街食油炸鬼炒麵艇仔粥 

Prediction: 落緊雨仲要趕去灣仔太和街打乒乓波
Reference: 落緊雨仲要趕住去灣仔太和街打乒乓波 

Prediction: 邊個會知道深井深井路邊間雲吞麵最好食
Reference: 邊個會知道深井深井村路邊間雲吞麵最好食 

Prediction: 茶飯不絲
Reference: 茶飯不思 

Prediction: 有個老人去左新蒲崗沐紅街食齋
Reference: 有個老人去左新蒲崗沐虹街食齋 

Prediction: 新鮮什果沙律配薯條
Reference: 新鮮什果沙律配薯條 

Prediction: 表這放學
Reference: 表姐放學去左赤鱲角翔天徑公園打韆鞦 

Prediction: 死左都唔知咩事
Reference: 死咗都唔知咩事 

Prediction: 問題或許未能員全浮現出來
Reference: 問題或許未能完全浮現出來 

Prediction: 大功告成辛苦啦
Reference: 大功告成辛苦啦 

Prediction: 嗰隻狐狸精專搞人老公
Reference: 嗰隻狐狸精專攪人老公 

Prediction: 博蘭街
Reference: 樂禮街 

Prediction: 唔想一強閒訓環三啲嘅人
Reference: 唔想一除鞋就臭暈身邊嘅人 

Prediction: 恭業家
Reference: 工業街 

Prediction: 青三是帶
Reference: 青山禪院大雄寶殿 

Prediction: 請問我想去深井青山公路深井段要搭乜嘢車先去到
Reference: 請問我想去深井青山公路深井段要搭乜嘢車先去到 

Prediction: 有個老婆婆喺牛池灣綠樓路等緊小巴
Reference: 有個老婆婆喺牛池灣綠柳路等緊小巴 

Prediction: 但這不應成爲通車的廠裡
Reference: 但這不應成為通車的阻礙 

Prediction: 幾個電腦品排進行減價低次五設起
Reference: 幾個電腦品牌進行減價低至五折起 

Prediction: 學生話佢知白德街係喺沙田但係唔知有冇小巴經嗰度
Reference: 學生話佢知百得街係喺沙田但係唔知有冇小巴經嗰度 

Prediction: 邊呀氣路
Reference: 變壓器路 

Prediction: 聖路西亞
Reference: 聖露西亞 

Prediction: 有個老婆婆喺粉嶺置榮徑等緊小巴
Reference: 有個老婆婆喺粉嶺置榮徑等緊小巴 

Prediction: 玉氣街
Reference: 玉器街 

Prediction: 我喺元朗聖歌拉徑盪失路
Reference: 我喺元朗聖哥拉徑盪失路 

Prediction: 金目刁
Reference: 金目鯛 

Prediction: 首肉肺沒有列名
Reference: 手續費沒有列明 

Prediction: 東京街西
Reference: 東京街西 

Prediction: 雲動蓉品街
Reference: 運動用品街 

Prediction: 八號風球好大風西營盤游二里依家橫風橫雨
Reference: 八號風球好大風西營盤由義里依家橫風橫雨 

Prediction: 秋東身款預擁連無外套檢激圖片體休惠款色及價錢壓
Reference: 秋冬新款羽絨連帽外套點擊圖片睇優惠款式及價錢啦 

Prediction: 我要食物你
Reference: 我要食蜜梨 

Prediction: 四百萬
Reference: 四百萬 

Prediction: 聽日係假期唔知道荃灣嘅海美灣泳灘多唔多人
Reference: 聽日係假期唔知道荃灣嘅海美灣泳灘多唔多人 

Prediction: 大角咀奧朗御峰附近有無巴士站
Reference: 大角嘴奧朗御峯附近有無巴士站 

Prediction: 勇有白分白盛熟男是的氣則
Reference: 擁有百份百成熟男仕的氣質 

Prediction: 一園讀此
Reference: 一元復始 

Prediction: 但不代表他們人運的群
Reference: 但不代表他們人云亦云 

Prediction: 以可當了
Reference: 已妥當了 

Prediction: 凍飲加一文
Reference: 凍飲加一文 

Prediction: 深圳控股
Reference: 深圳控股 

Prediction: 雞肉肉子飯
Reference: 雞肉玉子飯 

Prediction: 向外界提出的文題第一是間交多
Reference: 對外界提出的問題第一時間交代 

Prediction: 學生話佢知和后街係喺上環但係唔知用冇小巴啲嗰度
Reference: 學生話佢知皇后街係喺上環但係唔知有冇小巴經嗰度 

Prediction: 何老師問現正在壆病名賢路勸學生早啲返屋企
Reference: 何老師問現正在粉嶺銘賢路勸學生早啲返屋企 

Prediction: 解唔見左汀薄大埔龍美路對安嗰個巴士站
Reference: 點解唔見左汀角大埔龍尾路對開嗰個巴士站 

Prediction: 老友記得去土瓜灣牡雀街參加緩步跑練習
Reference: 老友唔記得去土瓜灣炮仗街參加緩步跑練習 

Prediction: 請問我想去屯門大欖涌路要搭乜嘢車先去到
Reference: 請問我想去屯門大欖涌路要搭乜嘢車先去到 

Prediction: 何東花園
Reference: 何東花園 

Prediction: 嗰次喺西貢南山新村路見到有雞蛋仔格仔餅賣
Reference: 嗰次喺西貢南山新村路見到有雞蛋仔格仔餅賣 

Prediction: 同埋一個細佬
Reference: 同埋一個細佬 

Prediction: 下五無所是是決定夠地重有
Reference: 下午無所事事決定舊地重遊 

Prediction: 對影成三人
Reference: 對影成三人 

Prediction: 嗰幾將因為拳重有兩日就過期你放公好拿拿淋用咗佢
Reference: 嗰幾張優惠券仲有兩日就過期你放工好拿拿臨用咗佢 

Prediction: 高首事必要靚仔有型只不過系你啲聲鬥市物一相情月諗發疾播
Reference: 高手事必要靚仔有型只不過係你啲升斗市民一廂情願諗法咋噃 

Prediction: 下婆走得快一定有怪
Reference: 阿婆走得快一定有蠱怪 

Prediction: 光棍老教仔片耳博她
Reference: 光棍佬教仔便宜莫貪 

Prediction: 你瞓請未講極都唔定
Reference: 你瞓醒未講極都唔明 

Prediction: 大廟關恰石
Reference: 大廟灣刻石 

Prediction: 樣樣嘢都去針據人真係衰道貼地
Reference: 樣樣嘢都去針對人真係衰到貼地 

Prediction: 昂如術
Reference: 鱷魚恤 

Prediction: 比較一下五同銀行或財無機球提供嘅貸款質低年利率
Reference: 比較一下唔同銀行或財務機構提供嘅貸款實際年利率 

Prediction: 對依近年者果威風盡入效員他心感同心
Reference: 對於近年這股歪風進入校園她深感痛心 

Prediction: 立法會食物安全及華境為新示務委員會成那表兩個小組委粵會
Reference: 立法會食物安全及環境衞生事務委員會成立了兩個小組委員會 

Prediction: 港式椒牌條品
Reference: 港式招牌甜品 

Prediction: 我真係嬲到爆炸
Reference: 我真係嬲到爆炸 

Prediction: 睇書係一個最平嘅真的火法
Reference: 睇書係一個最平嘅增值方法 

Prediction: 宣徑的曾東副主任
Reference: 尊敬的陳冬副主任 

Prediction: 的士喺灣仔禮頓道兜左幾個圈
Reference: 的士喺灣仔禮頓道兜左幾個圈 

Prediction: 我依家喺元朗西裕街附近有停車場泊車嗎
Reference: 我依家喺元朗西裕街附近有停車場泊車嗎 

Prediction: 吉列煮扒拉麵
Reference: 吉列豬扒拉麵 

Prediction: 啊萬
Reference: 阿曼 

Prediction: 你知唔知點去葵涌安節里嗰間缽仔糕
Reference: 你知唔知點去葵涌安捷里嗰間缽仔糕 

Prediction: 你知唔知點去元朗安信徑嗰間缽仔糕
Reference: 你知唔知點去元朗安信徑嗰間缽仔糕 

Prediction: 何老師問現正在大埔六鄉里勸學生早啲返屋企
Reference: 何老師問現正在大埔陸鄉里勸學生早啲返屋企 

Prediction: 我住喺太子站附近
Reference: 我住喺太子站附近 

Prediction: 細佬喺屯門河興街收養左一隻流浪狗
Reference: 細佬喺屯門河興街收養左一隻流浪狗 

Prediction: 我住喺黃大仙站附近
Reference: 我住喺黃大仙站附近 

CER: 0.20
